% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.273	1	1	28	4	1	0	85	0
0.289	1	1	29	10	1	28	2292	0
0.29	1	1	30	1	1	28	2292	0
0.291	1	1	30	2	1	28	2292	0
0.292	1	1	30	3	1	28	2292	0
0.293	1	1	30	4	1	28	2292	0
0.294	1	1	30	5	1	28	2292	0
0.295	1	1	30	6	1	28	2292	0
0.296	1	1	30	7	1	28	2292	0
0.297	1	1	30	8	1	28	2292	0
0.298	1	1	30	9	1	28	2292	0
0.299	1	1	30	10	1	28	2292	0
0.3	1	1	31	1	1	28	2292	0
0.301	1	1	31	2	1	28	2292	0
0.302	1	1	31	3	1	28	2292	0
0.303	1	1	31	4	1	28	2292	0
0.304	1	1	31	5	1	28	2292	0
0.305	1	1	31	6	1	28	2292	0
0.306	1	1	31	7	1	28	2292	0
0.307	1	1	31	8	1	28	2292	0
0.308	1	1	31	9	1	28	2292	0
0.309	1	1	31	10	1	28	2292	0
0.31	1	1	32	1	1	28	2292	0
0.311	1	1	32	2	1	28	2292	0
0.312	1	1	32	3	1	28	2292	0
0.313	1	1	32	4	1	28	2292	0
0.314	1	1	32	5	1	28	2292	0
0.315	1	1	32	6	1	28	2292	0
0.316	1	1	32	7	1	28	2292	0
0.317	1	1	32	8	1	28	2292	0
0.318	1	1	32	9	1	28	2292	0
0.319	1	1	32	10	1	28	2292	0
0.32	1	1	33	1	1	28	2292	0
0.321	1	1	33	2	1	28	2292	0
0.322	1	1	33	3	1	28	2292	0
0.323	1	1	33	4	1	28	2292	0
0.324	1	1	33	5	1	28	2292	0
0.325	1	1	33	6	1	28	2292	0
0.326	1	1	33	7	1	28	2292	0
0.327	1	1	33	8	1	28	2292	0
0.328	1	1	33	9	1	28	2292	0
0.329	1	1	33	10	1	28	2292	0
0.33	1	1	34	1	1	28	2292	0
0.331	1	1	34	2	1	28	2292	0
0.332	1	1	34	3	1	28	2292	0
0.333	1	1	34	4	1	28	2292	0
0.334	1	1	34	5	1	28	2292	0
0.335	1	1	34	6	1	28	2292	0
0.336	1	1	34	7	1	28	2292	0
0.337	1	1	34	8	1	28	2292	0
0.338	1	1	34	9	1	28	2292	0
0.339	1	1	34	10	1	28	2292	0
0.34	1	1	35	1	1	28	2292	0
0.341	1	1	35	2	1	28	2292	0
0.342	1	1	35	3	1	28	2292	0
0.343	1	1	35	4	1	28	2292	0
0.344	1	1	35	5	1	28	2292	0
0.345	1	1	35	6	1	28	2292	0
0.346	1	1	35	7	1	28	2292	0
0.347	1	1	35	8	1	28	2292	0
0.348	1	1	35	9	1	28	2292	0
0.349	1	1	35	10	1	28	2292	0
0.35	1	1	36	1	1	28	2292	0
0.351	1	1	36	2	1	28	2292	0
0.352	1	1	36	3	1	28	2292	0
0.353	1	1	36	4	1	28	2292	0
0.354	1	1	36	5	1	28	2292	0
0.355	1	1	36	6	1	28	2292	0
0.356	1	1	36	7	1	28	2292	0
0.357	1	1	36	8	1	28	2292	0
0.358	1	1	36	9	1	28	2292	0
0.359	1	1	36	10	1	28	2292	0
0.36	1	1	37	1	1	28	2292	0
0.361	1	1	37	2	1	28	2292	0
0.362	1	1	37	3	1	28	2292	0
0.363	1	1	37	4	1	28	2292	0
0.364	1	1	37	5	1	28	2292	0
0.365	1	1	37	6	1	28	2292	0
0.366	1	1	37	7	1	28	2292	0
0.367	1	1	37	8	1	28	2292	0
0.368	1	1	37	9	1	28	2292	0
0.369	1	1	37	10	1	28	2292	0
0.37	1	1	38	1	1	28	2292	0
0.371	1	1	38	2	1	28	2292	0
0.372	1	1	38	3	1	28	2292	0
0.373	1	1	38	4	1	28	2292	0
0.374	1	1	38	5	1	28	2292	0
0.375	1	1	38	6	1	28	2292	0
0.376	1	1	38	7	1	28	2292	0
0.377	1	1	38	8	1	28	2292	0
0.378	1	1	38	9	1	28	2292	0
0.379	1	1	38	10	1	28	2292	0
0.38	1	1	39	1	1	28	2292	0
0.381	1	1	39	2	1	28	2292	0
0.382	1	1	39	3	1	28	2292	0
0.383	1	1	39	4	1	28	2292	0
0.384	1	1	39	5	1	28	2292	0
0.385	1	1	39	6	1	28	2292	0
0.386	1	1	39	7	1	28	2292	0
0.387	1	1	39	8	1	28	2292	0
0.388	1	1	39	9	1	28	2292	0
0.389	1	1	39	10	1	28	2292	0
0.39	1	1	40	1	1	28	2292	0
0.391	1	1	40	2	1	28	2292	0
0.392	1	1	40	3	1	28	2292	0
0.393	1	1	40	4	1	28	2292	0
0.394	1	1	40	5	1	28	2292	0
0.395	1	1	40	6	1	28	2292	0
0.396	1	1	40	7	1	28	2292	0
0.397	1	1	40	8	1	28	2292	0
0.398	1	1	40	9	1	28	2292	0
0.399	1	1	40	10	1	28	2292	0
0.4	1	1	41	1	1	28	2292	0
0.401	1	1	41	2	1	28	2292	0
0.402	1	1	41	3	1	28	2292	0
0.403	1	1	41	4	1	28	2292	0
0.404	1	1	41	5	1	28	2292	0
1.633	2	1	164	4	1	0	85	0
1.649	2	1	165	10	1	28	2292	0
1.65	2	1	166	1	1	28	2292	0
1.651	2	1	166	2	1	28	2292	0
1.652	2	1	166	3	1	28	2292	0
1.653	2	1	166	4	1	28	2292	0
1.654	2	1	166	5	1	28	2292	0
1.655	2	1	166	6	1	28	2292	0
1.656	2	1	166	7	1	28	2292	0
1.657	2	1	166	8	1	28	2292	0
1.658	2	1	166	9	1	28	2292	0
1.659	2	1	166	10	1	28	2292	0
1.66	2	1	167	1	1	28	2292	0
1.661	2	1	167	2	1	28	2292	0
1.662	2	1	167	3	1	28	2292	0
1.663	2	1	167	4	1	28	2292	0
1.664	2	1	167	5	1	28	2292	0
1.665	2	1	167	6	1	28	2292	0
1.666	2	1	167	7	1	28	2292	0
1.667	2	1	167	8	1	28	2292	0
1.668	2	1	167	9	1	28	2292	0
1.669	2	1	167	10	1	28	2292	0
1.67	2	1	168	1	1	28	2292	0
1.671	2	1	168	2	1	28	2292	0
1.672	2	1	168	3	1	28	2292	0
1.673	2	1	168	4	1	28	2292	0
1.674	2	1	168	5	1	28	2292	0
1.675	2	1	168	6	1	28	2292	0
1.676	2	1	168	7	1	28	2292	0
1.677	2	1	168	8	1	28	2292	0
1.678	2	1	168	9	1	28	2292	0
1.679	2	1	168	10	1	28	2292	0
1.68	2	1	169	1	1	28	2292	0
1.681	2	1	169	2	1	28	2292	0
1.682	2	1	169	3	1	28	2292	0
1.683	2	1	169	4	1	28	2292	0
1.684	2	1	169	5	1	28	2292	0
1.685	2	1	169	6	1	28	2292	0
1.686	2	1	169	7	1	28	2292	0
1.687	2	1	169	8	1	28	2292	0
1.688	2	1	169	9	1	28	2292	0
1.689	2	1	169	10	1	28	2292	0
1.69	2	1	170	1	1	28	2292	0
1.691	2	1	170	2	1	28	2292	0
1.692	2	1	170	3	1	28	2292	0
1.693	2	1	170	4	1	28	2292	0
1.694	2	1	170	5	1	28	2292	0
1.695	2	1	170	6	1	28	2292	0
1.696	2	1	170	7	1	28	2292	0
1.697	2	1	170	8	1	28	2292	0
1.698	2	1	170	9	1	28	2292	0
1.699	2	1	170	10	1	28	2292	0
1.7	2	1	171	1	1	28	2292	0
1.701	2	1	171	2	1	28	2292	0
1.702	2	1	171	3	1	28	2292	0
1.703	2	1	171	4	1	28	2292	0
1.704	2	1	171	5	1	28	2292	0
1.705	2	1	171	6	1	28	2292	0
1.706	2	1	171	7	1	28	2292	0
1.707	2	1	171	8	1	28	2292	0
1.708	2	1	171	9	1	28	2292	0
1.709	2	1	171	10	1	28	2292	0
1.71	2	1	172	1	1	28	2292	0
1.711	2	1	172	2	1	28	2292	0
1.712	2	1	172	3	1	28	2292	0
1.713	2	1	172	4	1	28	2292	0
1.714	2	1	172	5	1	28	2292	0
1.715	2	1	172	6	1	28	2292	0
1.716	2	1	172	7	1	28	2292	0
1.717	2	1	172	8	1	28	2292	0
1.718	2	1	172	9	1	28	2292	0
1.719	2	1	172	10	1	28	2292	0
1.72	2	1	173	1	1	28	2292	0
1.721	2	1	173	2	1	28	2292	0
1.722	2	1	173	3	1	28	2292	0
1.723	2	1	173	4	1	28	2292	0
1.724	2	1	173	5	1	28	2292	0
1.725	2	1	173	6	1	28	2292	0
1.726	2	1	173	7	1	28	2292	0
1.727	2	1	173	8	1	28	2292	0
1.728	2	1	173	9	1	28	2292	0
1.729	2	1	173	10	1	28	2292	0
1.73	2	1	174	1	1	28	2292	0
1.731	2	1	174	2	1	28	2292	0
1.732	2	1	174	3	1	28	2292	0
1.733	2	1	174	4	1	28	2292	0
1.734	2	1	174	5	1	28	2292	0
1.735	2	1	174	6	1	28	2292	0
1.736	2	1	174	7	1	28	2292	0
1.737	2	1	174	8	1	28	2292	0
1.738	2	1	174	9	1	28	2292	0
1.739	2	1	174	10	1	28	2292	0
1.74	2	1	175	1	1	28	2292	0
1.741	2	1	175	2	1	28	2292	0
1.742	2	1	175	3	1	28	2292	0
1.743	2	1	175	4	1	28	2292	0
1.744	2	1	175	5	1	28	2292	0
1.745	2	1	175	6	1	28	2292	0
1.746	2	1	175	7	1	28	2292	0
1.747	2	1	175	8	1	28	2292	0
1.748	2	1	175	9	1	28	2292	0
1.749	2	1	175	10	1	28	2292	0
1.75	2	1	176	1	1	28	2292	0
1.751	2	1	176	2	1	28	2292	0
1.752	2	1	176	3	1	28	2292	0
1.753	2	1	176	4	1	28	2292	0
1.754	2	1	176	5	1	28	2292	0
1.755	2	1	176	6	1	28	2292	0
1.756	2	1	176	7	1	28	2292	0
1.757	2	1	176	8	1	28	2292	0
1.758	2	1	176	9	1	28	2292	0
1.759	2	1	176	10	1	28	2292	0
1.76	2	1	177	1	1	28	2292	0
1.761	2	1	177	2	1	28	2292	0
1.762	2	1	177	3	1	28	2292	0
1.763	2	1	177	4	1	28	2292	0
1.764	2	1	177	5	1	28	2292	0
1.765	2	1	177	6	1	28	2292	0
1.766	2	1	177	7	1	28	2292	0
1.767	2	1	177	8	1	28	2292	0
1.768	2	1	177	9	1	28	2292	0
1.769	2	1	177	10	1	28	2292	0
1.77	2	1	178	1	1	28	2292	0
1.771	2	1	178	2	1	28	2292	0
1.772	2	1	178	3	1	28	2292	0
1.773	2	1	178	4	1	28	2292	0
1.774	2	1	178	5	1	28	2292	0
1.775	2	1	178	6	1	28	2292	0
1.776	2	1	178	7	1	28	2292	0
1.777	2	1	178	8	1	28	2292	0
1.778	2	1	178	9	1	28	2292	0
1.779	2	1	178	10	1	28	2292	0
1.78	2	1	179	1	1	28	2292	0
1.781	2	1	179	2	1	28	2292	0
1.782	2	1	179	3	1	28	2292	0
1.783	2	1	179	4	1	28	2292	0
1.784	2	1	179	5	1	28	2292	0
1.785	2	1	179	6	1	28	2292	0
1.786	2	1	179	7	1	28	2292	0
1.787	2	1	179	8	1	28	2292	0
1.788	2	1	179	9	1	28	2292	0
1.789	2	1	179	10	1	28	2292	0
1.79	2	1	180	1	1	28	2292	0
1.791	2	1	180	2	1	28	2292	0
1.792	2	1	180	3	1	28	2292	0
1.793	2	1	180	4	1	28	2292	0
1.794	2	1	180	5	1	28	2292	0
1.795	2	1	180	6	1	28	2292	0
1.796	2	1	180	7	1	28	2292	0
1.797	2	1	180	8	1	28	2292	0
1.798	2	1	180	9	1	28	2292	0
1.799	2	1	180	10	1	28	2292	0
1.8	2	1	181	1	1	28	2292	0
1.801	2	1	181	2	1	28	2292	0
1.802	2	1	181	3	1	28	2292	0
1.803	2	1	181	4	1	28	2292	0
1.804	2	1	181	5	1	28	2292	0
1.805	2	1	181	6	1	28	2292	0
1.806	2	1	181	7	1	28	2292	0
1.807	2	1	181	8	1	28	2292	0
1.808	2	1	181	9	1	28	2292	0
1.809	2	1	181	10	1	28	2292	0
1.81	2	1	182	1	1	28	2292	0
1.811	2	1	182	2	1	28	2292	0
1.812	2	1	182	3	1	28	2292	0
1.813	2	1	182	4	1	28	2292	0
1.814	2	1	182	5	1	28	2292	0
1.815	2	1	182	6	1	28	2292	0
1.816	2	1	182	7	1	28	2292	0
1.817	2	1	182	8	1	28	2292	0
1.818	2	1	182	9	1	28	2292	0
1.819	2	1	182	10	1	28	2292	0
1.82	2	1	183	1	1	28	2292	0
1.821	2	1	183	2	1	28	2292	0
1.822	2	1	183	3	1	28	2292	0
1.823	2	1	183	4	1	28	2292	0
1.824	2	1	183	5	1	28	2292	0
1.825	2	1	183	6	1	28	2292	0
1.826	2	1	183	7	1	28	2292	0
1.827	2	1	183	8	1	28	2292	0
1.828	2	1	183	9	1	28	2292	0
1.829	2	1	183	10	1	28	2292	0
1.83	2	1	184	1	1	28	2292	0
1.831	2	1	184	2	1	28	2292	0
1.832	2	1	184	3	1	28	2292	0
1.833	2	1	184	4	1	28	2292	0
1.834	2	1	184	5	1	28	2292	0
1.835	2	1	184	6	1	28	2292	0
1.836	2	1	184	7	1	28	2292	0
1.837	2	1	184	8	1	28	2292	0
1.838	2	1	184	9	1	28	2292	0
1.839	2	1	184	10	1	28	2292	0
1.84	2	1	185	1	1	28	2292	0
1.841	2	1	185	2	1	28	2292	0
1.842	2	1	185	3	1	28	2292	0
1.843	2	1	185	4	1	28	2292	0
1.844	2	1	185	5	1	28	2292	0
1.845	2	1	185	6	1	28	2292	0
1.846	2	1	185	7	1	28	2292	0
1.847	2	1	185	8	1	28	2292	0
1.848	2	1	185	9	1	28	2292	0
