87.03	147.26	0.00	6.900000e+00
25.24	150.92	0.00	6.600000e+00
90.03	221.10	0.00	6
119.97	18.32	0.00	5.700000e+00
21.75	221.24	0.00	5.700000e+00
98.24	189.70	0.00	5.700000e+00
43.66	19.19	0.00	5.400000e+00
212.01	225.22	0.00	5.100000e+00
230.52	150.09	0.00	5.100000e+00
20.34	64.21	0.00	4.800000e+00
175.05	35.08	0.00	4.500000e+00
145.80	172.04	0.00	4.500000e+00
135.84	86.84	0.00	4.200000e+00
226.85	189.88	0.00	4.200000e+00
162.18	227.68	0.00	4.200000e+00
47.95	101.67	0.00	4.200000e+00
186.06	140.23	0.00	3.900000e+00
153.36	129.90	0.00	3.600000e+00
219.58	100.50	0.00	3
80.35	77.96	0.00	3
193.76	180.72	0.00	3
195.59	78.07	0.00	3
223.13	12.43	0.00	3
106.79	49.32	0.00	2.700000e+00
223.34	54.87	0.00	2.100000e+00
