86.17	10.39	0.00	32
361.59	20.84	0.00	29
286.48	18.05	0.00	30
181.61	16.82	0.00	27
25.46	27.79	0.00	23
41.39	151.83	0.00	25
232.92	69.69	0.00	20
127.13	58.58	0.00	19
266.24	152.23	0.00	17
358.23	349.56	0.00	18
303.13	79.61	0.00	13
141.87	332.33	0.00	14
126.43	124.99	0.00	15
258.33	364.50	0.00	12
110.32	191.40	0.00	12
268.80	247.54	0.00	12
199.76	170.86	0.00	9
334.09	276.19	0.00	10
364.66	119.94	0.00	9
132.85	257.60	0.00	10
351.28	189.65	0.00	9
223.87	300.65	0.00	9
44.47	279.17	0.00	11
189.70	241.55	0.00	7
67.68	372.70	0.00	8
