104.96	207.25	0.00	6.900000e+00
118.00	23.17	0.00	6.600000e+00
96.07	144.10	0.00	6.600000e+00
231.22	153.71	0.00	6.300000e+00
177.94	123.43	0.00	5.400000e+00
206.68	186.05	0.00	5.100000e+00
47.54	16.40	0.00	4.800000e+00
214.03	81.94	0.00	4.800000e+00
152.14	161.57	0.00	4.500000e+00
31.75	97.78	0.00	4.500000e+00
126.52	78.79	0.00	4.500000e+00
74.78	212.48	0.00	4.500000e+00
69.91	80.43	0.00	4.500000e+00
197.44	27.14	0.00	4.200000e+00
222.88	225.72	0.00	4.200000e+00
174.73	209.92	0.00	4.200000e+00
10.77	150.75	0.00	3.900000e+00
10.28	220.33	0.00	3.600000e+00
22.51	41.96	0.00	3.300000e+00
49.79	181.21	0.00	3
43.34	141.78	0.00	3
155.88	240.93	0.00	2.400000e+00
33.25	239.85	0.00	1.800000e+00
9.55	67.78	0.00	1.500000e+00
